PATH,PSNR,NRMSE,SSI,NMI
1,16.57074037,0.274999052,0.858087436,1.639900669
,,,,
2,15.6127802,0.291400398,0.82065377,1.641593732
,,,,
3,15.55209604,0.289729392,0.824797566,1.632042131
,,,,
4,16.32670221,0.278652834,0.858209661,1.750924225
,,,,
5,15.20095952,0.268954362,0.861168385,1.753458773
,,,,
6,14.38811325,0.418751747,0.86274928,1.666916406
,,,,
7,15.81815869,0.288945629,0.87868603,1.747297985
,,,,
8,14.28174265,0.41064854,0.858068299,1.621991706
,,,,
9,16.77602224,0.242012186,0.83827315,1.67065733
,,,,
10,15.46523362,0.429484735,0.898121428,1.699980612
11,14.5096865662546,0.34280448512941025,0.8555140362822251,1.7118283270078116
12,16.19413336093308,0.2364104979637997,0.8879740318776119,1.7825061690644688
13,13.846117164363482,0.3187952406574976,0.8559805854489065,1.7298055361521854
14,15.21301194564371,0.2996189362823864,0.8580758774589086,1.6901966909518291
15,16.126609861287175,0.33119100689469366,0.8740248041733912,1.6811826811611559
16,12.58617755119495,0.5581655045646057,0.8490376634661189,1.6563842326505513
17,18.088548961144294,0.17670443576447456,0.8811757109597456,1.7188267821451588
18,14.14082034706334,0.38478186082619126,0.8633391862979702,1.6343668846253152
19,15.82491090786355,0.2608431559408786,0.8913772653873755,1.7672610542110117
20,15.360066113746207,0.3046942502387574,0.8943680319587674,1.6754282170589507
21,18.06715025129516,0.15644550095808687,0.9153062966865652,1.7970963750887345
22,13.674760340839324,0.3285201261837392,0.8191100590992829,1.7016692134113738
23,17.40000067397553,0.21031781574476968,0.8537701724010431,1.6466054369776204
24,14.624792240187316,0.316684775130657,0.8634710565219704,1.756667663552871
25,14.679051358491824,0.33448102723305817,0.8244943226120585,1.6323456511765317
26,16.945278551512082,0.21203677133524793,0.8728957227486217,1.6763030088596542
27,14.741749385882086,0.3213342966409484,0.862785364083702,1.6678222147136819
28,15.714337069530783,0.252631238074494,0.8757091530243181,1.7496546290215387
29,13.729260698651931,0.38727344054157076,0.8098860943797355,1.5801627890422483
30,17.896600210524547,0.1843295781801835,0.8772733301000037,1.759097597495388
31,14.919763117919763,0.38118474702671823,0.881865848386195,1.7176330417758143
32,12.554511749098406,0.3894746295503354,0.8167272884515467,1.7043524604258322
33,16.057708202942568,0.3094631032232897,0.8659415767316627,1.7781166799254486
