PATH,PSNR,NRMSE,SSI,NMI
1,16.75197837,0.269320428,0.855212797,1.683500531
,,,,
2,16.06688704,0.276557091,0.821650709,1.69704681
,,,,
3,16.07558935,0.27278337,0.823702463,1.652280512
,,,,
4,16.64133188,0.268739795,0.856165266,1.755706739
,,,,
5,15.48199685,0.260391454,0.862913677,1.768596366
,,,,
6,14.88610932,0.395418358,0.864100445,1.713182935
,,,,
7,16.21876715,0.275921604,0.868555735,1.7461302
,,,,
8,14.84995623,0.384644568,0.859092768,1.65976906
,,,,
9,17.41784193,0.224774091,0.845826938,1.642323499
,,,,
10,15.91465475,0.407827658,0.89975362,1.667937649
,,,,
11,15.50002538,0.305864839,0.859689418,1.748560618
,,,,
12,16.93925059,0.216975599,0.886241972,1.776166422
,,,,
13,14.36755959,0.30022006,0.849825493,1.741495478
,,,,
14,15.97793922,0.274361327,0.851763085,1.604610069
,,,,
15,16.67669801,0.310866646,0.876063041,1.787817093
,,,,
16,13.10277476,0.525936283,0.85300782,1.709057361
,,,,
17,18.53771044,0.167799004,0.871877401,1.755023088
,,,,
18,14.86869355,0.35385141,0.859054537,1.627428096
,,,,
19,16.52381304,0.240676862,0.889349407,1.798652706
,,,,
20,15.83876458,0.288356228,0.892699528,1.762858756
,,,,
21,19.27289517,0.136168243,0.912743931,1.760507956
,,,,
22,14.3242274,0.304851705,0.819462082,1.706414255
,,,,
23,18.0662167,0.194789374,0.851733413,1.635986263
,,,,
24,15.3931017,0.289875634,0.858617992,1.748886361
,,,,
25,15.09775565,0.318739784,0.827085848,1.622719976
,,,,
26,18.09120371,0.185829614,0.869373035,1.638505747
,,,,
27,15.48429043,0.295005443,0.859871399,1.668944009
,,,,
28,16.54014028,0.229718986,0.871049418,1.738028045
,,,,
29,14.43594805,0.357012437,0.809647779,1.694472866
,,,,
30,18.70340507,0.167978921,0.869252153,1.74894939
,,,,
31,15.58807061,0.352955651,0.880413713,1.781514227
,,,,
32,13.08841476,0.366255388,0.822518963,1.731769989
,,,,
33,16.65790256,0.28880131,0.868673482,1.794168825
,,,,
34,14.33479598,0.323761139,0.82224492,1.605522958
,,,,
35,14.03393799,0.361948746,0.841322209,1.727052425
,,,,
36,17.47878487,0.21465316,0.840380288,1.633536226
,,,,
37,16.0977603,0.280468771,0.887949869,1.768134272
,,,,
38,16.10588535,0.272202529,0.875724163,1.782330528
,,,,
39,13.51222885,0.393784712,0.829933331,1.727270652
,,,,
40,15.87302288,0.341617048,0.860855256,1.766515541
,,,,
41,12.22276172,0.83238183,0.851815655,1.707303586
,,,,
42,19.54539244,0.169076507,0.890682373,1.801939132
,,,,
43,17.89871534,0.193628737,0.884149331,1.795562648
,,,,
44,17.16016034,0.261563731,0.901432232,1.783156212
,,,,
45,17.37706126,0.264257162,0.884925143,1.831220694
,,,,
46,15.89588191,0.390703691,0.875335105,1.683841389
,,,,
47,18.66020856,0.16194351,0.870755502,1.736354761
,,,,
48,16.847936,0.267323695,0.866349249,1.654189097
,,,,
49,15.93449701,0.342584661,0.883742565,1.791045081
,,,,
50,18.39365804,0.200471856,0.88757132,1.766972407
51,17.22155445,0.258595558,0.798500894,1.756880531
,,,,
52,16.87909981,0.260450929,0.785642101,1.644133759
,,,,
53,16.12993054,0.276429105,0.785965896,1.661022959
,,,,
54,16.39236184,0.279411242,0.791863501,1.660325394
,,,,
55,17.41081485,0.212591378,0.831880144,1.731312056
,,,,
56,14.61422968,0.407586761,0.792035388,1.689965219
,,,,
57,16.08795121,0.283597116,0.809111828,1.647119109
,,,,
58,14.93254331,0.389538827,0.805862307,1.69250495
,,,,
59,18.19994625,0.208354299,0.784650772,1.5903385
,,,,
60,14.15479149,0.472987283,0.782781292,1.639945905
,,,,
61,16.05852296,0.29092773,0.799823354,1.679795376
,,,,
62,17.2807156,0.210597179,0.826597488,1.688328585
,,,,
63,15.85032153,0.259485108,0.821249567,1.69531887
,,,,
64,16.55494064,0.261196375,0.802502116,1.65453815
,,,,
65,15.96923696,0.339683661,0.819802124,1.698162789
,,,,
66,13.18021389,0.528351229,0.783413714,1.660373333
,,,,
67,18.21279277,0.174974444,0.802866009,1.659096783
,,,,
68,15.3636085,0.342055332,0.805191164,1.646760422
,,,,
69,16.46009243,0.242511919,0.825755591,1.703600917
,,,,
70,14.44638853,0.335201476,0.827129832,1.670896704
,,,,
71,19.21400642,0.137939368,0.872489629,1.670483719
,,,,
72,15.15710095,0.285740546,0.793194049,1.674295845
,,,,
73,17.11124131,0.220361354,0.817549359,1.715526382
,,,,
74,16.39102635,0.26310484,0.811519042,1.672401558
,,,,
75,17.59273181,0.25052188,0.813897325,1.692363838
,,,,
76,18.9387625,0.170561093,0.803657701,1.653136074
,,,,
77,15.82267535,0.28786137,0.797272734,1.658862086
,,,,
78,16.53856649,0.230664064,0.796441276,1.650380024
,,,,
79,15.63686058,0.325620968,0.786111297,1.669461545
,,,,
80,18.99825896,0.164743805,0.835490153,1.659781158
,,,,
81,15.10008942,0.376557076,0.821580485,1.675704423
,,,,
82,15.36091824,0.295008695,0.811346008,1.615370277
,,,,
83,16.56566337,0.292854067,0.786105035,1.705626046
,,,,
84,16.71174654,0.256064583,0.803544978,1.665062492
,,,,
85,15.38635292,0.321168584,0.809283216,1.6492391
,,,,
86,18.96440564,0.185368542,0.818113146,1.647815269
,,,,
87,15.47430134,0.301074228,0.832269903,1.693697477
,,,,
88,15.20355902,0.301075604,0.782408303,1.771059431
,,,,
89,15.96302593,0.313716854,0.803909507,1.656099103
,,,,
90,14.70395293,0.393956206,0.791027092,1.661595303
,,,,
91,12.25281025,0.8568711,0.78946677,1.669558987
,,,,
92,18.42197023,0.191053552,0.789896077,1.572001563
,,,,
93,17.83094611,0.195554365,0.82596379,1.721642379
,,,,
94,13.28197693,0.396265933,0.801609658,1.748253522
,,,,
95,15.23213066,0.327770419,0.77186697,1.727422847
,,,,
96,14.80440274,0.431486953,0.776502947,1.54470759
,,,,
97,20.32175386,0.135806492,0.830292438,1.708475454
,,,,
98,15.41569799,0.314101031,0.782498361,1.680316606
,,,,
99,14.4665064,0.398675968,0.787783631,1.67171118
,,,,
100,15.82731906,0.266785951,0.811360524,1.703742894
1,15.816848694483276,0.29993405595121053,0.8692232650699836,1.6491778956878766
2,18.22697580289961,0.21566534316904853,0.8839210702438052,1.6563474853679683
3,14.9126699945604,0.3118630038423602,0.849158550175023,1.6479951223900111
4,15.659843171642091,0.30088907302827156,0.8536111763143339,1.7537386824442742
5,14.842156350242739,0.28029719471719244,0.8636989907030084,1.7560588824983527
6,13.293859186954698,0.474973450795781,0.8290570318551901,1.6712143799046184
7,16.13010348673723,0.278752576157285,0.8828303310979788,1.7529836714164453
8,13.17781744144322,0.4663012111979936,0.8260608585896463,1.6354816551759184
9,18.38393820255846,0.20111359843542106,0.8837247543060577,1.6605939634569882
10,14.709635396034273,0.4685194700250304,0.8905154826380508,1.7077843133916166
1,15.816848694483276,0.29993405595121053,0.8692232650699836,1.6491778956878766
